연도,연도_날짜,국가,방문자_비율_퍼센트,연도내_순위
2020,2020-01-01,중국,61.5,1
2020,2020-01-01,대만,9.1,2
2020,2020-01-01,일본,7.8,3
2020,2020-01-01,기타,4.6,4
2020,2020-01-01,태국,4.4,5
2020,2020-01-01,인도,1.6,6
2021,2021-01-01,중국,53.7,1
2021,2021-01-01,미국,11.2,2
2021,2021-01-01,기타,11.1,3
2021,2021-01-01,인도,8.5,4
2021,2021-01-01,필리핀,2.6,5
2021,2021-01-01,독일,2.0,6
2022,2022-01-01,중국,26.9,1
2022,2022-01-01,인도,16.6,2
2022,2022-01-01,기타,12.3,3
2022,2022-01-01,일본,11.3,4
2022,2022-01-01,미국,4.9,5
2022,2022-01-01,베트남,3.8,6
2023,2023-01-01,중국,39.9,1
2023,2023-01-01,기타,9.2,2
2023,2023-01-01,일본,8.8,3
2023,2023-01-01,대만,8.3,4
2023,2023-01-01,인도,7.1,5
2023,2023-01-01,미국,4.8,6
2025,2025-01-01,중국,28.0,1
2025,2025-01-01,일본,12.1,2
2025,2025-01-01,기타,11.0,3
2025,2025-01-01,대만,8.5,4
2025,2025-01-01,인도,5.9,5
2025,2025-01-01,미국,5.5,6
