연도,연도_날짜,국가,방문자_비율_퍼센트,연도내_순위
2020,2020-01-01,중국,61.5,1
2020,2020-01-01,대만,9.1,2
2020,2020-01-01,일본,7.8,3
2020,2020-01-01,기타,4.6,4
2020,2020-01-01,태국,4.4,5
2020,2020-01-01,인도,1.6,6
2020,2020-01-01,미국,1.4,7
2020,2020-01-01,독일,1.3,8
2020,2020-01-01,홍콩,1.2,9
2020,2020-01-01,베트남,1.2,9
2020,2020-01-01,러시아,1.0,11
2020,2020-01-01,말레이시아,0.9,12
2020,2020-01-01,인도네시아,0.7,13
2020,2020-01-01,영국,0.6,14
2020,2020-01-01,필리핀,0.5,15
2020,2020-01-01,오스트레일리아,0.4,16
2020,2020-01-01,싱가포르,0.3,17
2020,2020-01-01,몽골,0.3,17
2020,2020-01-01,캐나다,0.3,17
2020,2020-01-01,프랑스,0.3,17
2020,2020-01-01,카자흐스탄,0.2,21
2020,2020-01-01,멕시코,0.1,22
2020,2020-01-01,튀르키예,0.1,22
2020,2020-01-01,사우디아라비아,0.0,24
2020,2020-01-01,아랍에미리트,0.0,24
2021,2021-01-01,중국,53.7,1
2021,2021-01-01,미국,11.2,2
2021,2021-01-01,기타,11.1,3
2021,2021-01-01,인도,8.5,4
2021,2021-01-01,필리핀,2.6,5
2021,2021-01-01,독일,2.0,6
2021,2021-01-01,인도네시아,1.9,7
2021,2021-01-01,프랑스,1.6,8
2021,2021-01-01,일본,1.4,9
2021,2021-01-01,베트남,1.2,10
2021,2021-01-01,러시아,0.8,11
2021,2021-01-01,싱가포르,0.7,12
2021,2021-01-01,태국,0.6,13
2021,2021-01-01,영국,0.4,14
2021,2021-01-01,몽골,0.4,14
2021,2021-01-01,카자흐스탄,0.4,14
2021,2021-01-01,멕시코,0.3,17
2021,2021-01-01,말레이시아,0.3,17
2021,2021-01-01,캐나다,0.3,17
2021,2021-01-01,대만,0.2,20
2021,2021-01-01,튀르키예,0.2,20
2021,2021-01-01,사우디아라비아,0.1,22
2021,2021-01-01,홍콩,0.1,22
2021,2021-01-01,아랍에미리트,0.0,24
2022,2022-01-01,중국,26.9,1
2022,2022-01-01,인도,16.6,2
2022,2022-01-01,기타,12.3,3
2022,2022-01-01,일본,11.3,4
2022,2022-01-01,미국,4.9,5
2022,2022-01-01,베트남,3.8,6
2022,2022-01-01,태국,3.1,7
2022,2022-01-01,독일,3.0,8
2022,2022-01-01,프랑스,2.7,9
2022,2022-01-01,싱가포르,2.7,9
2022,2022-01-01,말레이시아,1.8,11
2022,2022-01-01,대만,1.5,12
2022,2022-01-01,몽골,1.3,13
2022,2022-01-01,오스트레일리아,1.3,13
2022,2022-01-01,영국,1.2,15
2022,2022-01-01,필리핀,1.2,15
2022,2022-01-01,캐나다,1.1,17
2022,2022-01-01,인도네시아,1.0,18
2022,2022-01-01,러시아,0.7,19
2022,2022-01-01,카자흐스탄,0.6,20
2022,2022-01-01,홍콩,0.5,21
2022,2022-01-01,튀르키예,0.3,22
2022,2022-01-01,멕시코,0.3,22
2022,2022-01-01,사우디아라비아,0.1,24
2022,2022-01-01,아랍에미리트,0.0,25
2023,2023-01-01,중국,39.9,1
2023,2023-01-01,기타,9.2,2
2023,2023-01-01,일본,8.8,3
2023,2023-01-01,대만,8.3,4
2023,2023-01-01,인도,7.1,5
2023,2023-01-01,미국,4.8,6
2023,2023-01-01,베트남,2.7,7
2023,2023-01-01,태국,2.5,8
2023,2023-01-01,독일,1.9,9
2023,2023-01-01,홍콩,1.5,10
2023,2023-01-01,싱가포르,1.5,10
2023,2023-01-01,인도네시아,1.4,12
2023,2023-01-01,캐나다,1.4,12
2023,2023-01-01,말레이시아,1.4,12
2023,2023-01-01,몽골,1.2,15
2023,2023-01-01,프랑스,1.2,15
2023,2023-01-01,오스트레일리아,1.1,17
2023,2023-01-01,필리핀,1.1,17
2023,2023-01-01,영국,1.0,19
2023,2023-01-01,러시아,1.0,19
2023,2023-01-01,카자흐스탄,0.6,21
2023,2023-01-01,튀르키예,0.3,22
2023,2023-01-01,멕시코,0.2,23
2023,2023-01-01,사우디아라비아,0.1,24
2023,2023-01-01,아랍에미리트,0.0,25
2025,2025-01-01,중국,28.0,1
2025,2025-01-01,일본,12.1,2
2025,2025-01-01,기타,11.0,3
2025,2025-01-01,대만,8.5,4
2025,2025-01-01,인도,5.9,5
2025,2025-01-01,미국,5.5,6
2025,2025-01-01,필리핀,4.0,7
2025,2025-01-01,베트남,3.4,8
2025,2025-01-01,홍콩,3.3,9
2025,2025-01-01,인도네시아,3.0,10
2025,2025-01-01,싱가포르,1.9,11
2025,2025-01-01,말레이시아,1.9,11
2025,2025-01-01,독일,1.9,11
2025,2025-01-01,태국,1.8,14
2025,2025-01-01,캐나다,1.6,15
2025,2025-01-01,몽골,1.3,16
2025,2025-01-01,러시아,1.0,17
2025,2025-01-01,프랑스,0.9,18
2025,2025-01-01,영국,0.8,19
2025,2025-01-01,오스트레일리아,0.8,19
2025,2025-01-01,멕시코,0.5,21
2025,2025-01-01,카자흐스탄,0.5,21
2025,2025-01-01,튀르키예,0.3,23
2025,2025-01-01,사우디아라비아,0.1,24
2025,2025-01-01,아랍에미리트,0.0,25
