연도,영역,문장,키워드,언론사
2025,기타,9일 이재준 수원시장이  ‘수원화성 3대 축제 성과보고회’에서 인사말을 하고 있다,성과,서울신문
2025,기타,"수원시는 9일 수원컨벤션센터 컨벤션홀에서 ‘수원화성 3대 축제 성과보고회’를 열고, 이 같은 축제 운영성과를 보고했다",성과,서울신문
2025,기타,9일 열린 ‘수원화성 3대 축제 성과보고회’에 참석자들이 기념 촬영을 하고 있다,성과,서울신문
2025,야간,"이재준 시장, “시민의 연대와 참여, 수원화성문화제의 원동력이자 뿌리”
4일 연무대에서 열린 주제 공연 ‘수원판타지-야조’(수원시 제공)
대한민국 대표 글로벌 축제로 자리매김한 ‘제62회 수원화성문화제’가 8일간의 여정을 마치고 4일 막을 내렸다","야조, 글로벌, 주제, 자리매김",서울신문
2025,기타,"수원시는 올해 제62회 수원화성문화제 개최 기간을 8일간(기존 3일)으로 확대하고, 축제 공간도 수원화성 전역으로 넓혀 더 많은 시민의 참여를 이끌었다",이끌었다,서울신문
2025,야간,"주요 프로그램으로는 용주사 명상, 사찰음식 체험, 수원화성과 화성행궁 탐방, 팔달문시장 자유 여행, 화성행궁 야간개장과 미디어아트 공연 등이 있다","성과, 야간, 프로그램",연합뉴스
2024,기타,"전문가 평가자문단을 통해 연간 성과를 지속적으로 점검해 축제당 외래관광객 100% 이상 증가, 지역경제 활성화 성과 목표를 달성할 계획이다",성과,경향신문
2024,안전혼잡,"문화체육관광부
2024년 축제당 6억 6000만원 지원
올해는 축제당 국비 총 6억 6000만원을 지원, 해외 시연회(가칭 Korea WorldFest)도 개최해 이 축제들이 세계인이 일생에 꼭 방문해야 할 축제로 자리매김하도록 각인시킨다",자리매김,중앙일보
2024,외국인,"특히 ‘글로벌 축제’로 선정된 3개 축제와 함께 ‘글로벌 축제 협의체’를 구성하여 해외 시연회 등의 홍보마케팅 행사를 공동으로 기획하고, 연간 성과를 점검하여 외래관광객 유치와 지역경제 활성화를 지속해서 추진할 계획이다","글로벌, 성과",중앙일보
2025,기타,이재준 수원시장(가운데)과 수원화성 3대 축제 성과보고회 참석자들이 함께하고 있다,성과,유교신문
2025,기타,"수원시는지난9일 수원컨벤션센터 컨벤션홀에서‘수원화성3대 축제 성과보고회’를 열고,축제 운영성과를 보고했다",성과,유교신문
2025,기타,"수원시는 9일 수원컨벤션센터에서 수원화성 3대 축제 성과보고회를 열고, 2025년 수원화성문화제, 정조대왕 능행차, 수원화성 미디어아트의 운영성과를 공유했다",성과,아시아타임즈
2025,콘텐츠,정조 입궁 퍼포먼스와 행궁광장 중심 프로그램으로 서사를 강화하며 관람 편의성과 완성도를 높였다,"성과, 프로그램",아시아타임즈
2025,콘텐츠,"정조대왕 능행차는 어도 중심 랜드마크형 관람 공간 조성과 행렬 구간 연장, 왕의 행렬 연출 강화가 제안됐고, 미디어아트는 몰입형 콘텐츠와 관람석 확대, 기상 변수 대비, 3대 축제 간 홍보 연계가 필요하다는 의견이 나왔다","콘텐츠, 성과, 관람석, 연계",아시아타임즈
2025,기타,수원시는 지난 9일 수원컨벤션센터에서 열린 ‘수원화성 3대 축제 성과보고회’에서 이런 내용의 축제 운영성과를 보고했다,성과,기호일보
2025,기타,| 한스경제=김두일 기자 | 수원특례시(시장 이재준)는 9일 수원컨벤션센터에서 ‘수원화성 3대 축제 성과보고회’를 열고 올해 축제 경제적 효과가 604억 원에 달했다고 밝혔다,성과,한스경제
2025,기타,5% 늘어나는 성과를 거뒀다,성과,한스경제
2025,기타,수원화성문화제는 축제 공간을 수원화성 전역으로 확장하며 도시 정체성과 브랜드 가치를 강화했다는 평가를 받았다,성과,한스경제
2025,야간,"대표 프로그램인 수원판타지 ‘야조’, 수상퍼포먼스 ‘선유몽’, 이머시브 아트 퍼포먼스 ‘진찬’은 세계문화유산 기반 공연으로 자리잡으며 국내외 관람객의 호응을 이끌었다","야조, 이끌었다, 프로그램",한스경제
2025,기타,"정조대왕 능행차 공동재현은 시민 퍼레이드 규모 확대, 플래시몹 도입, 입궁 퍼포먼스 강화 등을 통해 서사성과 관람 편의를 높였다",성과,한스경제
2025,기타,수원시는 9일 수원컨벤션센터에서 성과보고회를 열고 연간 축제 운영 결과를 공유했다,성과,이뉴스투데이
2025,콘텐츠,올해 수원화성문화제는 ‘새빛팔달’을 주제로 9월 27일부터 10월 4일까지 수원화성 전역에서 진행되며 도시정체성과 브랜드 가치를 강화했다는 평가를 받았다,"주제, 성과",이뉴스투데이
2025,야간,"‘야조’, ‘선유몽’, 이머시브 퍼포먼스 ‘진찬’ 등 대표 프로그램은 세계유산 기반 공연으로 자리매김했다","야조, 자리매김, 프로그램",이뉴스투데이
2025,기타,수원시는 9일 수원컨벤션센터 컨벤션홀에서 ‘수원화성 3대 축제 성과보고회’를 열고 축제 운영성과를 보고했습니다,성과,팍스경제TV
2025,기타,수원시는 9일 수원컨벤션센터 컨벤션홀에서 '수원화성 3대 축제 성과보고회'를 열고 축제 운영성과를 보고했다,성과,뉴스웍스
2025,기타,수원시는 9일 수원컨벤션센터 컨벤션홀에서 '수원화성 3대 축제 성과보고회'를 열고 축제 운영성과를 보고했다,성과,뉴스웍스
2025,기타,수원시는 9일 수원컨벤션센터 컨벤션홀에서 '수원화성 3대 축제 성과보고회'를 열고 축제 운영성과를 보고했다,성과,뉴스웍스
2025,콘텐츠,"늘어난 축제기간, 빈틈 없이 채운 콘텐츠
이날 수원컨벤션센터에서 열린 ‘수원화성 3대 축제 성과보고회’에서 제62회 수원화성문화제는 축제 기간·공간이 확장되면서 ‘문화관광도시 수원’으로서 도시정체성이 강화되고, 브랜드 가치가 상승했다는 평가를 받았다","콘텐츠, 성과",이데일리
2025,안전혼잡,9일 수원컨벤션센터에서 열린 수원화성 3대 축제 성과보고회'에서 이재준 수원특례시장을 비롯한 참가자들이 기념사진을 찍고 있다,성과,이데일리
2025,기타,수원시는 9일 수원컨벤션센터에서 성과보고회를 열고 올해 축제 방문객이 112만5000명으로 조사됐다고 밝혔다,성과,이투데이
2025,야간,"세계문화유산 기반 프로그램 △‘야조’ △‘선유몽’ △‘진찬’ 등이 대표 콘텐츠로 자리 잡았고, 외국인 전용 라운지를 운영하며 글로벌 안내 서비스도 강화했다","야조, 외국인, 글로벌, 콘텐츠, 안내, 대표 콘텐츠, 프로그램",이투데이
2025,기타,성과보고회에서는 축제별 개선점도 제시됐다,성과,이투데이
2025,기타,"수원시는 9일 수원컨벤션센터 컨벤션홀에서 ‘수원화성 3대 축제 성과보고회’를 열고, 축제 운영성과를 보고했다",성과,불교닷컴
