기준년월,연도,월,연월_날짜,검색건수,전체방문자,현지인방문자,외지인방문자,관광총소비_천원,검색대비방문전환율,1인당평균소비_원,10월여부
202001,2020,1,2020-01-01,178750.0,8136086.0,2831640.0,5304446.0,111899570.0,45.517,13753.0,Other
202002,2020,2,2020-02-01,131953.0,6495447.0,2495563.0,3999884.0,80618630.0,49.225,12412.0,Other
202003,2020,3,2020-03-01,126561.0,6289230.0,2521666.0,3767564.0,74812344.0,49.693,11895.0,Other
202004,2020,4,2020-04-01,159428.0,6781716.0,2562368.0,4219348.0,86688447.0,42.538,12783.0,Other
202005,2020,5,2020-05-01,193126.0,7614968.0,2736640.0,4878328.0,103090801.0,39.43,13538.0,Other
202006,2020,6,2020-06-01,174898.0,7136647.0,2690552.0,4446096.0,92418455.0,40.805,12950.0,Other
202007,2020,7,2020-07-01,191321.0,7547743.0,2805722.0,4742020.0,94926615.0,39.451,12577.0,Other
202008,2020,8,2020-08-01,178290.0,6913098.0,2667763.0,4245336.0,85019721.0,38.774,12298.0,Other
202009,2020,9,2020-09-01,167354.0,6719556.0,2703372.0,4016184.0,87666571.0,40.152,13046.0,Other
202010,2020,10,2020-10-01,225108.0,7745808.0,2807147.0,4938661.0,107096980.0,34.409,13826.0,Oct
202011,2020,11,2020-11-01,181723.0,7025767.0,2681200.0,4344568.0,107957994.0,38.662,15366.0,Other
202012,2020,12,2020-12-01,151441.0,5937026.0,2498122.0,3438904.0,73018086.0,39.204,12299.0,Other
202101,2021,1,2021-01-01,152516.0,6151208.0,2495098.0,3656110.0,86102439.0,40.332,13998.0,Other
202102,2021,2,2021-02-01,181994.0,6439248.0,2387564.0,4051684.0,83314379.0,35.382,12939.0,Other
202103,2021,3,2021-03-01,199787.0,7683098.0,2831773.0,4851326.0,93829370.0,38.456,12212.0,Other
202104,2021,4,2021-04-01,207081.0,7154172.0,2760975.0,4393196.0,92725917.0,34.548,12961.0,Other
202105,2021,5,2021-05-01,230903.0,7682479.0,3007588.0,4674890.0,105752491.0,33.271,13765.0,Other
202106,2021,6,2021-06-01,211259.0,7479972.0,3049658.0,4430314.0,95179839.0,35.407,12725.0,Other
202107,2021,7,2021-07-01,195400.0,6937830.0,2925335.0,4012494.0,87052642.0,35.506,12548.0,Other
202108,2021,8,2021-08-01,222358.0,6889659.0,2870021.0,4019638.0,82658684.0,30.985,11998.0,Other
202109,2021,9,2021-09-01,239303.0,7322648.0,2886152.0,4436495.0,89857560.0,30.6,12271.0,Other
202110,2021,10,2021-10-01,293142.0,7812532.0,3011180.0,4801352.0,104874937.0,26.651,13424.0,Oct
202111,2021,11,2021-11-01,288378.0,7792981.0,2995335.0,4797646.0,107439796.0,27.023,13787.0,Other
202112,2021,12,2021-12-01,253487.0,7653740.0,3016030.0,4637710.0,97967839.0,30.194,12800.0,Other
202201,2022,1,2022-01-01,213700.0,7558642.0,2966072.0,4592570.0,97576889.0,35.37,12909.0,Other
202202,2022,2,2022-02-01,218106.0,6813618.0,2786144.0,4027474.0,77439749.0,31.24,11365.0,Other
202203,2022,3,2022-03-01,241456.0,7880054.0,3107640.0,4772414.0,91333067.0,32.636,11590.0,Other
202204,2022,4,2022-04-01,308780.0,8624066.0,3209202.0,5414864.0,108034256.0,27.929,12527.0,Other
202205,2022,5,2022-05-01,341759.0,9170466.0,3420260.0,5750206.0,123511089.0,26.833,13468.0,Other
202206,2022,6,2022-06-01,319544.0,8622932.0,3380814.0,5242118.0,111106986.0,26.985,12885.0,Other
202207,2022,7,2022-07-01,335248.0,8919886.0,3436139.0,5483748.0,114411021.0,26.607,12827.0,Other
202208,2022,8,2022-08-01,334651.0,8716855.0,3384728.0,5332128.0,106607353.0,26.048,12230.0,Other
202209,2022,9,2022-09-01,317895.0,9013350.0,3397412.0,5615939.0,113556410.0,28.353,12599.0,Other
