관광지명,대분류,중분류,MZ_비중,20대여성_비중,시니어_비중,남성_총비중,HHI_쏠림지수,연령다양성,주력_성연령,주력_비율,여성_총비중
나혜석거리,문화관광,도시.지역문화관광,61.6,20.0,6.6,52.6,1245.0,13.989,20대 여성 비율,20.0,47.4
매산시장,쇼핑,시장,70.2,28.2,3.6,52.9,1928.0,12.423,20대 남성 비율,30.4,47.1
못골종합시장(못골시장),쇼핑,시장,25.7,6.8,26.7,52.6,848.0,15.138,60대 여성 비율,14.0,47.4
서호공원,문화관광,도시공원,32.4,8.0,20.9,55.6,852.0,15.332,50대 남성 비율,12.2,44.4
서호꽃뫼공원,문화관광,도시공원,35.4,8.7,17.1,53.8,824.0,15.503,50대 남성 비율,11.1,46.2
수원공방거리,문화관광,도시.지역문화관광,33.3,8.9,22.2,52.2,821.0,15.366,50대 여성 비율,11.2,47.8
수원사(수원),역사관광,종교성지,33.8,9.2,25.9,53.3,835.0,15.341,50대 남성 비율,11.7,46.7
수원시립아이파크미술관,문화관광,전시시설,32.4,12.2,20.1,45.4,815.0,15.378,20대 여성 비율,21.0,54.6
수원역전시장,쇼핑,시장,60.9,21.4,8.9,54.6,1357.0,14.372,20대 남성 비율,24.5,45.4
수원영동시장,쇼핑,시장,27.2,7.1,29.8,47.4,860.0,15.053,60대 여성 비율,15.1,52.6
수원월드컵경기장(봉녕사),역사관광,종교성지,37.1,8.7,16.1,51.3,797.0,15.549,50대 여성 비율,11.4,48.7
수원통닭거리,문화관광,도시.지역문화관광,33.8,9.2,25.9,53.3,835.0,15.301,60대 여성 비율,12.9,46.7
수원향교,역사관광,역사유적지,33.4,6.7,14.2,59.5,1009.0,14.959,50대 남성 비율,16.6,40.5
수원화령전,역사관광,역사유적지,56.0,27.8,15.6,39.1,1271.0,13.864,20대 여성 비율,29.9,60.9
수원화성관광특구,문화관광,복합관광시설,33.7,9.6,22.1,51.6,820.0,15.46,20대 여성 비율,11.2,48.4
수원화성박물관,문화관광,전시시설,33.8,9.2,25.9,53.3,835.0,15.343,50대 남성 비율,11.7,46.7
숙지공원,문화관광,도시공원,32.5,7.8,18.4,50.1,793.0,15.599,50대 여성 비율,11.1,49.9
