연도,연도_날짜,대분류,대분류_지출비율
2020,2020-01-01,쇼핑업,54.1
2020,2020-01-01,숙박업,1.8
2020,2020-01-01,식음료업,34.3
2020,2020-01-01,여가서비스업,2.4
2020,2020-01-01,여행업,0.0
2020,2020-01-01,운송업,3.8
2020,2020-01-01,의료웰니스업,3.6
2021,2021-01-01,쇼핑업,56.7
2021,2021-01-01,숙박업,1.7
2021,2021-01-01,식음료업,31.8
2021,2021-01-01,여가서비스업,2.3
2021,2021-01-01,여행업,0.0
2021,2021-01-01,운송업,3.9
2021,2021-01-01,의료웰니스업,3.6
2022,2022-01-01,쇼핑업,50.1
2022,2022-01-01,숙박업,2.0
2022,2022-01-01,식음료업,38.0
2022,2022-01-01,여가서비스업,2.7
2022,2022-01-01,여행업,0.1
2022,2022-01-01,운송업,3.8
2022,2022-01-01,의료웰니스업,3.4
2023,2023-01-01,쇼핑업,47.5
2023,2023-01-01,숙박업,2.2
2023,2023-01-01,식음료업,40.8
2023,2023-01-01,여가서비스업,2.6
2023,2023-01-01,여행업,0.1
2023,2023-01-01,운송업,3.2
2023,2023-01-01,의료웰니스업,3.5
2024,2024-01-01,쇼핑업,48.6
2024,2024-01-01,숙박업,2.0
2024,2024-01-01,식음료업,40.2
2024,2024-01-01,여가서비스업,2.5
2024,2024-01-01,여행업,0.1
2024,2024-01-01,운송업,3.1
2024,2024-01-01,의료웰니스업,3.4
2025,2025-01-01,쇼핑업,46.9
2025,2025-01-01,숙박업,1.8
2025,2025-01-01,식음료업,42.0
2025,2025-01-01,여가서비스업,2.7
2025,2025-01-01,여행업,0.2
2025,2025-01-01,운송업,2.9
2025,2025-01-01,의료웰니스업,3.5
