관광지명,대분류,중분류,페르소나,페르소나_적합도점수,페르소나내_순위,Top10_여부
한옥기술전시관,문화관광,전시시설,20대여성,30.0,1,Y
한옥기술전시관,문화관광,전시시설,20대여성,30.0,1,Y
수원화령전,역사관광,역사유적지,20대여성,29.9,3,Y
화서문(華西門),역사관광,역사유적지,20대여성,29.9,3,Y
수원화령전,역사관광,역사유적지,20대여성,29.5,5,Y
수원화령전,역사관광,역사유적지,20대여성,29.4,6,Y
화서문(華西門),역사관광,역사유적지,20대여성,29.4,6,Y
수원화령전,역사관광,역사유적지,20대여성,29.3,8,Y
화서문(華西門),역사관광,역사유적지,20대여성,29.3,8,Y
한옥기술전시관,문화관광,전시시설,20대여성,29.1,10,Y
수원화령전,역사관광,역사유적지,20대여성,28.9,11,N
한옥기술전시관,문화관광,전시시설,20대여성,28.4,12,N
매산시장,쇼핑,시장,20대여성,28.2,13,N
수원화령전,역사관광,역사유적지,20대여성,27.8,14,N
화서문(華西門),역사관광,역사유적지,20대여성,27.8,14,N
매산시장,쇼핑,시장,20대여성,27.2,16,N
한옥기술전시관,문화관광,전시시설,20대여성,27.0,17,N
매산시장,쇼핑,시장,20대여성,27.0,17,N
매산시장,쇼핑,시장,20대여성,26.4,19,N
매산시장,쇼핑,시장,20대여성,25.7,20,N
매산시장,쇼핑,시장,20대여성,24.0,21,N
화성어차,체험관광,기타체험,20대여성,23.7,22,N
화성어차,체험관광,기타체험,20대여성,23.6,23,N
화성행궁,역사관광,역사유적지,20대여성,23.6,23,N
한옥기술전시관,문화관광,전시시설,20대여성,23.0,25,N
화성어차,체험관광,기타체험,20대여성,22.8,26,N
화성행궁,역사관광,역사유적지,20대여성,22.8,26,N
화성행궁,역사관광,역사유적지,20대여성,22.7,28,N
화성어차,체험관광,기타체험,20대여성,22.3,29,N
화성행궁,역사관광,역사유적지,20대여성,22.3,29,N
화성어차,체험관광,기타체험,20대여성,21.7,31,N
화성행궁,역사관광,역사유적지,20대여성,21.7,31,N
화서문(華西門),역사관광,역사유적지,20대여성,21.6,33,N
화홍문(華虹門),역사관광,역사유적지,20대여성,21.6,33,N
수원역전시장,쇼핑,시장,20대여성,21.4,35,N
화서공원,문화관광,도시공원,20대여성,21.1,36,N
수원시립아이파크미술관,문화관광,전시시설,20대여성,21.0,37,N
화홍문(華虹門),역사관광,역사유적지,20대여성,20.8,38,N
화홍문(華虹門),역사관광,역사유적지,20대여성,20.4,39,N
화서공원,문화관광,도시공원,20대여성,20.3,40,N
화서공원,문화관광,도시공원,20대여성,20.1,41,N
나혜석거리,문화관광,도시.지역문화관광,20대여성,20.0,42,N
나혜석거리,문화관광,도시.지역문화관광,20대여성,19.9,43,N
