연도,지표명,전국평균,팔달구,CCI_Gap,연도_날짜,Gap_상태
2019,관광자원수요,70.44,74.85,4.41,2019-01-01,전국상회
2019,관광 수요 강도,73.14,82.13,8.99,2019-01-01,전국상회
2019,관광 다양성,71.09,79.44,8.35,2019-01-01,전국상회
2019,관광 이동거리,71.21,71.13,-0.08,2019-01-01,전국하회
2020,관광자원수요,69.96,74.13,4.17,2020-01-01,전국상회
2020,관광 수요 강도,70.8,78.5,7.7,2020-01-01,전국상회
2020,관광 다양성,70.31,75.04,4.73,2020-01-01,전국상회
2020,관광 이동거리,69.31,68.41,-0.9,2020-01-01,전국하회
2021,관광자원수요,70.91,75.36,4.45,2021-01-01,전국상회
2021,관광 수요 강도,70.91,77.63,6.72,2021-01-01,전국상회
2021,관광 다양성,71.17,75.9,4.73,2021-01-01,전국상회
2021,관광 이동거리,70.47,69.19,-1.28,2021-01-01,전국하회
2022,관광자원수요,72.58,79.19,6.61,2022-01-01,전국상회
2022,관광 수요 강도,72.58,79.53,6.95,2022-01-01,전국상회
2022,관광 다양성,73.36,80.33,6.97,2022-01-01,전국상회
2022,관광 이동거리,74.82,74.02,-0.8,2022-01-01,전국하회
2023,관광자원수요,73.48,81.55,8.07,2023-01-01,전국상회
2023,관광 수요 강도,69.14,76.31,7.17,2023-01-01,전국상회
2023,관광 다양성,74.34,81.82,7.48,2023-01-01,전국상회
2023,관광 이동거리,75.56,75.29,-0.27,2023-01-01,전국하회
2024,관광자원수요,73.65,81.57,7.92,2024-01-01,전국상회
2024,관광 수요 강도,71.51,79.16,7.65,2024-01-01,전국상회
2024,관광 다양성,74.79,83.24,8.45,2024-01-01,전국상회
2024,관광 이동거리,75.5,77.33,1.83,2024-01-01,전국상회
2025,관광자원수요,74.37,81.99,7.62,2025-01-01,전국상회
2025,관광 수요 강도,73.43,81.03,7.6,2025-01-01,전국상회
2025,관광 다양성,75.7,84.27,8.57,2025-01-01,전국상회
2025,관광 이동거리,76.43,79.63,3.2,2025-01-01,전국상회
