연도,영역,감성,건수,연도_날짜
2024,기타,negative,4,2024-01-01
2024,기타,positive,16,2024-01-01
2024,안전혼잡,positive,2,2024-01-01
2024,외국인,positive,4,2024-01-01
2024,콘텐츠,positive,11,2024-01-01
2024,편의안내,positive,1,2024-01-01
2025,기타,negative,11,2025-01-01
2025,기타,positive,112,2025-01-01
2025,안전혼잡,positive,39,2025-01-01
2025,야간,positive,30,2025-01-01
2025,외국인,positive,31,2025-01-01
2025,지역연계,positive,13,2025-01-01
2025,콘텐츠,negative,2,2025-01-01
2025,콘텐츠,positive,44,2025-01-01
2025,편의안내,negative,1,2025-01-01
2025,편의안내,positive,1,2025-01-01
