연도,영역,주장유형,문장,키워드,언론사,기사제목
2025,기타,문제," ‘수원화성 3대 축제 성과보고회’에서 개선할 문제점들도 나와
이날 보고회에서는 축제별로 개선할 점도 제시했다",문제,불교닷컴,유네스코 세계유산에 빛나는 '수원화성'과 관련한 축제 '으뜸'
2025,기타,문제," ‘수원화성 3대 축제 성과보고회’에서 개선할 문제점들도 나와
이날 보고회에서는 축제별로 개선할 점도 제시했다",문제,불교닷컴,유네스코 세계유산에 빛나는 '수원화성'과 관련한 축제 '으뜸'
2025,기타,문제,그러나 급격한 수요 증가로 인해 일부 지방자치단체에서는 보조금 예산이 조기 소진되는 문제가 발생하기도 했다,문제,불교닷컴,유네스코 세계유산에 빛나는 '수원화성'과 관련한 축제 '으뜸'
2025,기타,문제,문제는 특사경 지휘감독을 어디서 할지다,문제,불교닷컴,유네스코 세계유산에 빛나는 '수원화성'과 관련한 축제 '으뜸'
2025,콘텐츠,문제,그러나 시민이 주도적으로 참여할 수 있는 체험형 콘텐츠는 부족하다,"부족, 콘텐츠",인천일보,"수원화성문화제, 행정 중심 운영 한계 넘을 때⋯'시민 축제'로 거듭나야"
2025,콘텐츠,문제,"규모나 역사성은 높이 평가되지만, 콘텐츠의 다양성과 신선함이 부족하다는 지적도 제기되고 있다","부족, 콘텐츠",인천일보,"수원화성문화제, 행정 중심 운영 한계 넘을 때⋯'시민 축제'로 거듭나야"
2025,기타,문제,"올해 축제 역시 화성행궁 일대에서 행사를 진행됐지만, 다수의 시민들은 실질적인 변화나 새로운 시도가 부족했다고 입을 모았다",부족,인천일보,"수원화성문화제, 행정 중심 운영 한계 넘을 때⋯'시민 축제'로 거듭나야"
2025,기타,문제,"이어 그는 “지원이 끊겼다고 해서 축제가 실패한 건 아니지만, 정부가 문제를 지적할 정도라면 내부 진단이 필요하다”며 “지금의 화성문화제는 시민 중심이 아니라 보여주기식 정책에 묶여 있다”고 비판했다",문제,인천일보,"수원화성문화제, 행정 중심 운영 한계 넘을 때⋯'시민 축제'로 거듭나야"
2025,기타,문제,단순히 '운이 나빴다'고 간주할 문제가 아니다,문제,인천일보,"[사설] 수원화성문화제, 연거푸 국비 공모 탈락"
2025,기타,문제,다음달 14~31일에는 고령자·장애인 등 거동이 불편한 주민들을 대상으로 '찾아가는 신청 서비스'를 운영할 예정이다,불편,시사저널,"[수원 24시] 수원화성문화제, 지구촌 함께하는 'K-축제' 도약 선언"
2025,기타,문제,그러나 급격한 수요 증가로 인해 일부 지방자치단체에서는 보조금 예산이 조기 소진되는 문제가 발생하기도 했다,문제,M이코노미뉴스,수원화성문화제 등 수원지역에서 펼쳐지는 각종 문화행사 해외에 널리 ...
2025,기타,문제,문제는 특사경 지휘감독을 어디서 할지다,문제,M이코노미뉴스,수원화성문화제 등 수원지역에서 펼쳐지는 각종 문화행사 해외에 널리 ...
2025,편의안내,문제,"""음식물 쓰레기 무단투기 안내 등 일부에 캐릭터가 활용되고 있지만, 공사 현장 안내 현수막이나 시정 홍보 게시물 등 활용도가 아직 부족하다""고 지적했다","부족, 공사, 안내",중앙신문,"수원시의회 기획경제위, 디지털 소외계층·화성문화제 홍보 등 개선방안..."
2025,기타,문제,이번에 새단장한 웹사이트는 기존 사이트에서 제기됐던 정보 검색의 불편을 해소하고 접속 속도를 대폭 개선했다,불편,뉴시스,수원화성문화제 홈페이지 전면 개편…접속 속도·검색 기능 개선
2024,기타,문제,그러나 급격한 수요 증가로 인해 일부 지방자치단체에서는 보조금 예산이 조기 소진되는 문제가 발생하기도 했다,문제,M이코노미뉴스,'수원화성문화제' 글로벌 축제로 거듭난다
2024,기타,문제,문제는 특사경 지휘감독을 어디서 할지다,문제,M이코노미뉴스,'수원화성문화제' 글로벌 축제로 거듭난다
2024,기타,문제,그러나 급격한 수요 증가로 인해 일부 지방자치단체에서는 보조금 예산이 조기 소진되는 문제가 발생하기도 했다,문제,M이코노미뉴스,환갑 넘긴 ‘수원화성문화제’ 대한민국 대표축제로 거듭난다
2024,기타,문제,문제는 특사경 지휘감독을 어디서 할지다,문제,M이코노미뉴스,환갑 넘긴 ‘수원화성문화제’ 대한민국 대표축제로 거듭난다
